epoch,train_loss,train_auc,val_loss,val_auc,lr,time_s
1,0.4374605330981706,0.8294486542984061,0.3076378107070923,0.9923727066584209,9.757729755661011e-05,158.18473315238953
2,0.27414875634406743,0.9306637052521557,0.2630387180381351,0.9978011406582835,9.05463412215599e-05,149.35748314857483
3,0.23123867064714432,0.9398902219397214,0.2504613780313068,0.9991067133924276,7.959536998847742e-05,147.5274748802185
4,0.24593312763854078,0.9722495313749394,0.25876307487487793,0.9993815708101422,6.57963412215599e-05,147.02401494979858
5,0.22678781869380096,0.9748029635076271,0.2327562156650755,0.9994502851645709,5.05e-05,148.74404096603394
6,0.21551166514032766,0.9637094131372318,0.23039963179164463,0.999244142101285,3.5203658778440106e-05,760.2188081741333
7,0.207613544832719,0.9844602956285965,0.22816136148240831,0.9994502851645709,2.1404630011522586e-05,5855.594211816788
8,0.2042561297942149,0.9788389215530484,0.22405719757080078,0.9995189995189995,1.0453658778440109e-05,4870.9775450229645
9,0.20381933529126017,0.9789926551176982,0.22339633107185364,0.9996564282278568,3.4227024433899e-06,18121.85488677025
10,0.206885046276607,0.9774224574003986,0.22321897082858616,0.9995877138734282,0.0001,13618.647114992142
11,0.19784353859722614,0.9800018413299664,0.22112216883235508,0.9997251425822854,9.757729755661011e-05,4827.534983873367
12,0.20113037899136543,0.9643348356579426,0.22693628403875563,0.9999312856455713,9.05463412215599e-05,5246.514850139618
13,0.1952238169155623,0.9826295089782298,0.21741020017200047,1.0,7.959536998847742e-05,6154.009749889374
14,0.1858005030570846,0.9777382540388321,0.21442104544904497,1.0,6.57963412215599e-05,6665.919310092926
15,0.15905693173408508,0.9829010974653776,0.21682986782656777,1.0,5.05e-05,2987.4831869602203
16,0.20091927375056243,0.9881354867920538,0.21373918486966026,1.0,3.5203658778440106e-05,1436.510930776596
17,0.17899869215723715,0.987064656986532,0.21410779820548165,1.0,2.1404630011522586e-05,114.34029197692871
18,0.16756666118377134,0.9889234076579233,0.21291062070263755,1.0,1.0453658778440109e-05,120.99603009223938
19,0.17160346574689211,0.9938925848444891,0.21346891588634914,1.0,3.4227024433899e-06,123.22857975959778
20,0.16478396677657178,0.9823128320012522,0.21095122396945953,1.0,0.0001,123.00828504562378
